,place_asked,name,count
0,51,Albania,51135
1,54,Afghanistan,24606
2,56,Algeria,28832
3,57,Angola,19338
4,58,Argentina,26355
5,59,Armenia,17391
6,60,Australia,17633
7,61,Azerbaijan,17415
8,62,Bahamas,13706
9,63,Bangladesh,24213
10,64,Belgium,48458
11,65,Belize,12252
12,66,Belarus,55311
13,67,Benin,14528
14,68,Bhutan,19290
15,69,Bolivia,24241
16,70,Bosnia and Herzegovina,48208
17,71,Botswana,18447
18,72,Brazil,21891
19,73,Brunei,15757
20,74,Bulgaria,49225
21,75,Burkina Faso,18216
22,76,Burundi,15082
23,77,Chad,23269
24,78,Montenegro,48615
25,79,Czech Rep.,40058
26,80,China,24667
27,81,Denmark,48827
28,82,Dem. Rep. Congo,26266
29,83,Dominican Rep.,13510
30,84,Djibouti,14252
31,85,Egypt,25634
32,86,Ecuador,25743
33,87,Eritrea,20522
34,88,Estonia,48959
35,89,Ethiopia,26811
36,90,Falkland Is.,18355
37,91,Fiji,9991
38,92,Philippines,29721
39,93,Finland,54677
40,94,France,47612
41,95,French Southern and Antarctic Lands,366
42,96,Gabon,19344
43,97,Gambia,16492
44,98,Ghana,19139
45,99,Greenland,17785
46,100,Georgia,17507
47,101,Guatemala,11921
48,102,Guinea,19318
49,103,Guinea-Bissau,14107
50,104,Guyana,23909
51,105,Haiti,13030
52,106,Honduras,16071
53,107,Chile,25586
54,108,Croatia,47089
55,109,India,27017
56,110,Indonesia,31432
57,111,Iraq,24553
58,112,Iran,25344
59,113,Ireland,45788
60,114,Iceland,46390
61,115,Italy,47696
62,116,Israel,18300
63,117,Jamaica,13432
64,118,Japan,29059
65,119,Yemen,25950
66,120,South Africa,23910
67,121,Korea,30593
68,122,S. Sudan,23249
69,123,Jordan,17893
70,124,Cambodia,22965
71,125,Cameroon,19729
72,126,Canada,17140
73,127,Qatar,15887
74,128,Kazakhstan,31629
75,129,Kenya,22247
76,130,Colombia,25231
77,131,Congo,17864
78,132,Costa Rica,12067
79,133,Cuba,12592
80,134,Kuwait,16578
81,135,Kypr,307
82,136,Kyrgyzstan,21938
83,137,Lao PDR,22373
84,138,Lesotho,15843
85,139,Lebanon,15705
86,140,Liberia,14437
87,141,Libya,28055
88,142,Lithuania,47645
89,143,Latvia,48253
90,144,Luxembourg,46570
91,145,Madagascar,21269
92,146,Hungary,49725
93,147,Macedonia,52992
94,148,Malaysia,23782
95,149,Malawi,19834
96,150,Mali,18886
97,151,Morocco,28387
98,152,Mauritania,18876
99,153,Mexico,17368
100,154,Moldova,49472
101,155,Mongolia,31662
102,156,Mozambique,22868
103,157,Myanmar,20268
104,158,Namibia,20377
105,159,Germany,45457
106,160,Nepal,29914
107,161,Niger,20458
108,162,Nigeria,21246
109,163,Nicaragua,16044
110,164,Netherlands,49304
111,165,Norway,52767
112,166,New Caledonia,9906
113,167,New Zealand,18677
114,168,Oman,26678
115,169,Pakistan,25902
116,170,Palestine,19523
117,171,Panama,14071
118,172,Papua New Guinea,17089
119,173,Paraguay,24677
120,174,Peru,26684
121,175,C̫te d'Ivoire,20156
122,176,Poland,45712
123,177,Puerto Rico,11498
124,178,Portugal,45148
125,179,Austria,45926
126,180,Eq. Guinea,16773
127,181,Romania,57881
128,182,Russia,59079
129,183,Rwanda,14082
130,184,Greece,50610
131,185,El Salvador,11456
132,186,Saudi Arabia,31469
133,187,Senegal,20720
134,188,Dem. Rep. Korea,30299
135,189,Sierra Leone,14292
136,190,Slovakia,38646
137,191,Slovenia,49908
138,192,Somalia,27953
139,193,United Arab Emirates,18313
140,194,United Kingdom,45209
141,195,United States,16593
142,196,Serbia,57779
143,197,Central African Rep.,25698
144,198,Sudan,26390
145,199,Suriname,23658
146,200,Swaziland,16308
147,201,Syria,24849
148,202,Solomon Is.,15480
149,203,Spain,49461
150,204,Sri Lanka,24044
151,205,Sweden,53441
152,206,Switzerland,49110
153,207,Tajikistan,22885
154,208,Tanzania,21883
155,209,Thailand,24050
156,210,Taiwan,21367
157,211,Togo,14575
158,212,Tunisia,28712
159,213,Turkey,32172
160,214,Turkmenistan,21246
161,215,Uganda,20328
162,216,Ukraine,52005
163,217,Uruguay,24817
164,218,Uzbekistan,21887
165,219,Venezuela,25869
166,220,Vietnam,27826
167,221,Timor-Leste,15206
168,222,Zambia,18731
169,223,W. Sahara,18483
